Time,data_I,data_II,data_III,data_V
2024.02.07 08:45,17556.4,17562.6,17555,17561.1
2024.02.07 09:00,17561.4,17565.2,17554.7,17556.2
2024.02.07 09:15,17556.4,17562.8,17551.7,17557.8
2024.02.07 09:30,17557.4,17557.4,17545.1,17548.2
2024.02.07 09:45,17548.4,17554,17545.2,17553.9
2024.02.07 10:00,17553.5,17560.4,17550.9,17555.7
2024.02.07 10:15,17555.4,17561,17550.5,17560
2024.02.07 10:30,17560.3,17565.9,17558.2,17563.4
2024.02.07 10:45,17564.3,17570.4,17560.7,17569.2
2024.02.07 11:00,17569.4,17570,17562,17568.3
2024.02.07 11:15,17568.4,17587.3,17566.2,17580
2024.02.07 11:30,17580.2,17587.7,17576.3,17587.7
2024.02.07 11:45,17587.7,17590.2,17579.3,17588
2024.02.07 12:00,17587.8,17595,17583.7,17591.7
2024.02.07 12:15,17592,17597.2,17588.4,17591.6
2024.02.07 12:30,17591.5,17591.9,17572.8,17578.1
2024.02.07 12:45,17577.9,17579.2,17566.9,17576
2024.02.07 13:00,17575.9,17581.2,17571.6,17575
2024.02.07 13:15,17575.3,17594.1,17574.4,17591.9
2024.02.07 13:30,17591.3,17602.2,17589.5,17594.9
2024.02.07 13:45,17594.9,17596.6,17587.7,17594.8
2024.02.07 14:00,17594.7,17595.2,17576.2,17587.2
2024.02.07 14:15,17587,17589.5,17567.9,17589.5
2024.02.07 14:30,17589.3,17613,17588,17608.6
2024.02.07 14:45,17608.6,17624.5,17608.4,17622.8
2024.02.07 15:00,17623.1,17645.6,17619.3,17644.7
2024.02.07 15:15,17644.5,17650.7,17633.3,17648.6
2024.02.07 15:30,17648.6,17659.9,17641.5,17655.4
2024.02.07 15:45,17655.5,17657.7,17645.6,17650.3
2024.02.07 16:00,17650.3,17677.1,17648.6,17672.2
2024.02.07 16:15,17671.6,17693.1,17670.1,17687
2024.02.07 16:30,17688.9,17692.7,17637.8,17645.8
2024.02.07 16:45,17646,17682.5,17633.9,17661.3
2024.02.07 17:00,17661.2,17725.8,17639.7,17720.1
2024.02.07 17:15,17720.1,17778.8,17715.5,17776.8
2024.02.07 17:30,17776.5,17780.9,17748.2,17764.5
2024.02.07 17:45,17765.1,17785.9,17742.6,17745
2024.02.07 18:00,17745,17764.2,17720.8,17757.3
2024.02.07 18:15,17758,17762,17721.8,17739.3
2024.02.07 18:30,17739.2,17745.4,17714.1,17738.4
2024.02.07 18:45,17738.4,17763.9,17728.9,17755
2024.02.07 19:00,17755.2,17762.5,17735.9,17745.8
2024.02.07 19:15,17745.3,17764.3,17728,17729.4
2024.02.07 19:30,17730.6,17730.6,17692.4,17713.5
2024.02.07 19:45,17713.6,17732.3,17708.5,17731.2
2024.02.07 20:00,17731.2,17750.7,17701.7,17737.4
2024.02.07 20:15,17736.5,17760,17732.4,17759.6
2024.02.07 20:30,17759.7,17768.5,17741,17754.4
2024.02.07 20:45,17755.4,17770.3,17746.3,17763.6
2024.02.07 21:00,17763.9,17768.6,17752,17756.8
2024.02.07 21:15,17756.9,17766,17749.1,17751.6
2024.02.07 21:30,17752.4,17759.8,17743,17750.1
2024.02.07 21:45,17750.2,17771.9,17748.5,17765.4
2024.02.07 22:00,17765.6,17777.2,17759.4,17769.3
2024.02.07 22:15,17769.1,17775.3,17756,17767.7
2024.02.07 22:30,17767.8,17770.5,17746.8,17760
2024.02.07 22:45,17759.7,17762.4,17742.8,17753
2024.02.07 23:00,17753.7,17766,17746.3,17764.1
2024.02.07 23:15,17764.6,17771.8,17756.2,17759.4
2024.02.07 23:30,17759.2,17762.3,17757.4,17761.9
2024.02.07 23:45,17761.7,17770.9,17760,17769.9
2024.02.08 01:00,17770.4,17771.2,17752.7,17759.1
2024.02.08 01:15,17759.3,17763.7,17757.3,17759.9
2024.02.08 01:30,17759.8,17762.6,17753.3,17753.9
2024.02.08 01:45,17753.4,17760.7,17752.8,17760.1
2024.02.08 02:00,17759.9,17760.3,17754.2,17756.6
2024.02.08 02:15,17756.4,17759.9,17754.2,17758.9
2024.02.08 02:30,17759.2,17761.4,17757.9,17758.7
2024.02.08 02:45,17758.6,17759.7,17754.8,17756.6
2024.02.08 03:00,17756.2,17759.2,17754.8,17758.4
2024.02.08 03:15,17758.3,17764.1,17755.1,17756.7
2024.02.08 03:30,17756.7,17765.2,17756.1,17758.3
2024.02.08 03:45,17758.1,17770.1,17757.7,17769.2
2024.02.08 04:00,17769.1,17775.6,17766.4,17769.7
2024.02.08 04:15,17769.6,17772.8,17766.7,17766.9
2024.02.08 04:30,17767.2,17767.2,17762.8,17764.9
2024.02.08 04:45,17765.3,17765.3,17761.6,17763.9
2024.02.08 05:00,17763.7,17767.6,17762.7,17763.9
2024.02.08 05:15,17763.4,17765.3,17762.7,17763.6
2024.02.08 05:30,17763.7,17764.6,17762.7,17764.2
2024.02.08 05:45,17763.9,17766.2,17761.6,17764.1
2024.02.08 06:00,17764.2,17766.1,17763.3,17765.9
2024.02.08 06:15,17766.1,17769.1,17764.9,17768.2
2024.02.08 06:30,17768.3,17771.1,17767.4,17770.7
2024.02.08 06:45,17770.1,17770.4,17767.1,17768.4
2024.02.08 07:00,17768.6,17769.4,17765.3,17767.1
2024.02.08 07:15,17767.2,17771.7,17766.3,17770.9
2024.02.08 07:30,17770.8,17770.9,17763.8,17763.9
2024.02.08 07:45,17764.1,17764.8,17760.6,17764.7
2024.02.08 08:00,17764.6,17767.7,17760.9,17761.4
2024.02.08 08:15,17761.3,17767.6,17760.9,17766.2
2024.02.08 08:30,17766.4,17772.3,17766.2,17768.9
2024.02.08 08:45,17769.2,17775.2,17768.4,17772.7
2024.02.08 09:00,17772.6,17780.1,17766.8,17777.2
2024.02.08 09:15,17777.4,17779.4,17766.3,17771.3
2024.02.08 09:30,17771.6,17773.3,17766.9,17767.3
2024.02.08 09:45,17767.4,17770.9,17761.8,17763.6
2024.02.08 10:00,17763.8,17769.7,17759.3,17761.1
2024.02.08 10:15,17760.9,17762.2,17740.1,17748.3
2024.02.08 10:30,17748.1,17755.3,17743.2,17754.6
2024.02.08 10:45,17754.8,17755.3,17746.2,17755.1
2024.02.08 11:00,17754.8,17770.1,17754.8,17767.8
2024.02.08 11:15,17768.7,17770.1,17761.2,17761.3
2024.02.08 11:30,17761.1,17769.7,17760.8,17768.1
2024.02.08 11:45,17768.1,17768.6,17762.6,17764.1
2024.02.08 12:00,17764.1,17767.8,17757.1,17765.3
2024.02.08 12:15,17765.4,17765.8,17759.4,17762.7
2024.02.08 12:30,17761.9,17761.9,17751.6,17753.3
2024.02.08 12:45,17753.2,17755.8,17748.9,17755.1
2024.02.08 13:00,17754.8,17756.2,17746.9,17748.3
2024.02.08 13:15,17748.3,17750.7,17720.1,17720.1
2024.02.08 13:30,17720.6,17734.1,17718.3,17732.6
2024.02.08 13:45,17732.7,17733.3,17720.1,17728.3
2024.02.08 14:00,17728.8,17738.1,17720.3,17737.8
2024.02.08 14:15,17737.6,17738.1,17730.3,17732.6
2024.02.08 14:30,17732.8,17735.1,17724.1,17734.7
2024.02.08 14:45,17734.3,17737.7,17720.8,17724.3
2024.02.08 15:00,17726.3,17734.6,17719.2,17726.9
2024.02.08 15:15,17727.2,17728.9,17710.4,17720.3
2024.02.08 15:30,17720.3,17744.7,17710.1,17737.8
2024.02.08 15:45,17737.8,17742.4,17730.6,17742.4
2024.02.08 16:00,17741.8,17743.9,17735.3,17736.3
2024.02.08 16:15,17736.3,17752.6,17734.8,17752.3
2024.02.08 16:30,17754.9,17769.1,17724.9,17737.6
2024.02.08 16:45,17736.7,17770.2,17734.8,17769.3
2024.02.08 17:00,17769.6,17781.4,17752.4,17758.3
2024.02.08 17:15,17758.3,17784.2,17753.3,17758.1
2024.02.08 17:30,17758.3,17778.6,17743.5,17775.3
2024.02.08 17:45,17775.3,17811.9,17771.6,17809
2024.02.08 18:00,17809,17811,17792.2,17800.9
2024.02.08 18:15,17800.7,17813.5,17781.4,17783.2
2024.02.08 18:30,17783.3,17806.4,17778.3,17787.9
2024.02.08 18:45,17787.1,17807.4,17784.7,17804.3
2024.02.08 19:00,17803.9,17806.9,17781.2,17801
2024.02.08 19:15,17800.9,17814,17794.9,17806.7
2024.02.08 19:30,17806.7,17810.1,17781.9,17785.4
2024.02.08 19:45,17785.3,17788.2,17767.9,17774.8
2024.02.08 20:00,17775,17807,17770.5,17793.7
2024.02.08 20:15,17793.7,17802.8,17779.3,17801.4
2024.02.08 20:30,17802.2,17811.7,17794.7,17796
2024.02.08 20:45,17796.1,17800,17781.7,17788.4
2024.02.08 21:00,17788.9,17795,17762.1,17768.9
2024.02.08 21:15,17770.8,17784.3,17760.9,17762.4
2024.02.08 21:30,17762.6,17770.3,17747.3,17768.2
2024.02.08 21:45,17768,17787.6,17766.8,17782.7
2024.02.08 22:00,17782.1,17793.1,17780.5,17787.5
2024.02.08 22:15,17787.5,17798.4,17782.4,17789.7
2024.02.08 22:30,17790.9,17795.1,17776.6,17778.8
2024.02.08 22:45,17778.7,17792.6,17767.6,17783.5
2024.02.08 23:00,17783.5,17783.5,17770.6,17775.2
2024.02.08 23:15,17775.5,17783.4,17775,17781.8
2024.02.08 23:30,17781.7,17782.2,17780.4,17781.8
2024.02.08 23:45,17781.5,17784.4,17780.2,17780.3
2024.02.09 01:00,17776.9,17779.6,17769.4,17772.8
2024.02.09 01:15,17773,17780.5,17773,17778.5
2024.02.09 01:30,17778.8,17784.9,17778.5,17784.2
2024.02.09 01:45,17783.3,17787.5,17780.9,17784.1
2024.02.09 02:00,17784.2,17794.2,17780.2,17789.4
2024.02.09 02:15,17789.3,17789.8,17784.6,17787.2
2024.02.09 02:30,17787.5,17791.1,17784.5,17790.9
2024.02.09 02:45,17790.6,17790.6,17775.7,17776.4
2024.02.09 03:00,17776,17782.2,17775,17778.4
